team,group,probability
Australia,A,0.067
Australia,B,0.069
Australia,C,0.0875
Australia,D,0.071
Australia,E,0.1
Australia,F,0.086
Australia,G,0.096
Australia,H,0.086
Australia,I,0.084
Australia,J,0.0865
Australia,K,0.0875
Australia,L,0.0795
Serbia,A,0.1025
Serbia,B,0.086
Serbia,C,0.0815
Serbia,D,0.098
Serbia,E,0.07
Serbia,F,0.0815
Serbia,G,0.0855
Serbia,H,0.0755
Serbia,I,0.082
Serbia,J,0.08
Serbia,K,0.081
Serbia,L,0.0765
Poland,A,0.0995
Poland,B,0.101
Poland,C,0.0835
Poland,D,0.1
Poland,E,0.0755
Poland,F,0.0635
Poland,G,0.0725
Poland,H,0.0785
Poland,I,0.077
Poland,J,0.0885
Poland,K,0.0795
Poland,L,0.081
Egypt,A,0.075
Egypt,B,0.0765
Egypt,C,0.0895
Egypt,D,0.0595
Egypt,E,0.092
Egypt,F,0.0865
Egypt,G,0.0895
Egypt,H,0.0965
Egypt,I,0.09
Egypt,J,0.077
Egypt,K,0.0845
Egypt,L,0.0835
Algeria,A,0.073
Algeria,B,0.0675
Algeria,C,0.0895
Algeria,D,0.0655
Algeria,E,0.0885
Algeria,F,0.0945
Algeria,G,0.0785
Algeria,H,0.0855
Algeria,I,0.0865
Algeria,J,0.081
Algeria,K,0.099
Algeria,L,0.091
Tunisia,A,0.0635
Tunisia,B,0.0685
Tunisia,C,0.0865
Tunisia,D,0.0635
Tunisia,E,0.08
Tunisia,F,0.089
Tunisia,G,0.0835
Tunisia,H,0.0955
Tunisia,I,0.0895
Tunisia,J,0.087
Tunisia,K,0.093
Tunisia,L,0.1005
Nigeria,A,0.064
Nigeria,B,0.053
Nigeria,C,0.0915
Nigeria,D,0.0575
Nigeria,E,0.085
Nigeria,F,0.0895
Nigeria,G,0.0965
Nigeria,H,0.0975
Nigeria,I,0.098
Nigeria,J,0.0875
Nigeria,K,0.081
Nigeria,L,0.099
Norway,A,0.0935
Norway,B,0.09
Norway,C,0.079
Norway,D,0.095
Norway,E,0.088
Norway,F,0.082
Norway,G,0.083
Norway,H,0.073
Norway,I,0.089
Norway,J,0.0715
Norway,K,0.0755
Norway,L,0.0805
Sweden,A,0.092
Sweden,B,0.101
Sweden,C,0.072
Sweden,D,0.093
Sweden,E,0.079
Sweden,F,0.0875
Sweden,G,0.082
Sweden,H,0.084
Sweden,I,0.075
Sweden,J,0.0795
Sweden,K,0.084
Sweden,L,0.071
Paraguay,A,0.0775
Paraguay,B,0.082
Paraguay,C,0.0905
Paraguay,D,0.0935
Paraguay,E,0.0825
Paraguay,F,0.0815
Paraguay,G,0.075
Paraguay,H,0.074
Paraguay,I,0.083
Paraguay,J,0.104
Paraguay,K,0.0745
Paraguay,L,0.082
Turkey,A,0.095
Turkey,B,0.0965
Turkey,C,0.0615
Turkey,D,0.1035
Turkey,E,0.087
Turkey,F,0.0755
Turkey,G,0.0745
Turkey,H,0.07
Turkey,I,0.0825
Turkey,J,0.084
Turkey,K,0.09
Turkey,L,0.08
Austria,A,0.0975
Austria,B,0.109
Austria,C,0.0875
Austria,D,0.1
Austria,E,0.0725
Austria,F,0.083
Austria,G,0.0835
Austria,H,0.084
Austria,I,0.0635
Austria,J,0.0735
Austria,K,0.0705
Austria,L,0.0755
Panama,A,0.0
Panama,B,0.0
Panama,C,0.1175
Panama,D,0.0
Panama,E,0.11
Panama,F,0.1175
Panama,G,0.1055
Panama,H,0.1065
Panama,I,0.113
Panama,J,0.1095
Panama,K,0.1045
Panama,L,0.116
Costa Rica,A,0.0
Costa Rica,B,0.0
Costa Rica,C,0.099
Costa Rica,D,0.0
Costa Rica,E,0.1165
Costa Rica,F,0.1065
Costa Rica,G,0.1215
Costa Rica,H,0.1235
Costa Rica,I,0.11
Costa Rica,J,0.112
Costa Rica,K,0.107
Costa Rica,L,0.104
Jamaica,A,0.0
Jamaica,B,0.0
Jamaica,C,0.1215
Jamaica,D,0.0
Jamaica,E,0.1075
Jamaica,F,0.1175
Jamaica,G,0.1085
Jamaica,H,0.1115
Jamaica,I,0.113
Jamaica,J,0.0985
Jamaica,K,0.1105
Jamaica,L,0.1115
Qatar,A,0.0995
Qatar,B,0.106
Qatar,C,0.084
Qatar,D,0.1125
Qatar,E,0.075
Qatar,F,0.071
Qatar,G,0.0755
Qatar,H,0.0735
Qatar,I,0.0785
Qatar,J,0.0795
Qatar,K,0.07
Qatar,L,0.075
Saudi Arabia,A,0.117
Saudi Arabia,B,0.0955
Saudi Arabia,C,0.0735
Saudi Arabia,D,0.0915
Saudi Arabia,E,0.0825
Saudi Arabia,F,0.0755
Saudi Arabia,G,0.0685
Saudi Arabia,H,0.08
Saudi Arabia,I,0.0845
Saudi Arabia,J,0.0825
Saudi Arabia,K,0.0765
Saudi Arabia,L,0.0725
Uzbekistan,A,0.0975
Uzbekistan,B,0.1035
Uzbekistan,C,0.0745
Uzbekistan,D,0.102
Uzbekistan,E,0.067
Uzbekistan,F,0.078
Uzbekistan,G,0.0975
Uzbekistan,H,0.0735
Uzbekistan,I,0.08
Uzbekistan,J,0.07
Uzbekistan,K,0.0815
Uzbekistan,L,0.075
Iraq,A,0.0905
Iraq,B,0.094
Iraq,C,0.0725
Iraq,D,0.0995
Iraq,E,0.0875
Iraq,F,0.074
Iraq,G,0.0825
Iraq,H,0.075
Iraq,I,0.0725
Iraq,J,0.0935
Iraq,K,0.0805
Iraq,L,0.078
Ghana,A,0.104
Ghana,B,0.1085
Ghana,C,0.083
Ghana,D,0.1145
Ghana,E,0.075
Ghana,F,0.0695
Ghana,G,0.0705
Ghana,H,0.0795
Ghana,I,0.0695
Ghana,J,0.069
Ghana,K,0.0795
Ghana,L,0.0775
Cameroon,A,0.1065
Cameroon,B,0.1155
Cameroon,C,0.069
Cameroon,D,0.1185
Cameroon,E,0.075
Cameroon,F,0.0755
Cameroon,G,0.0555
Cameroon,H,0.0705
Cameroon,I,0.08
Cameroon,J,0.0745
Cameroon,K,0.0805
Cameroon,L,0.079
Ivory Coast,A,0.1095
Ivory Coast,B,0.119
Ivory Coast,C,0.0645
Ivory Coast,D,0.127
Ivory Coast,E,0.075
Ivory Coast,F,0.073
Ivory Coast,G,0.0815
Ivory Coast,H,0.067
Ivory Coast,I,0.064
Ivory Coast,J,0.0795
Ivory Coast,K,0.067
Ivory Coast,L,0.073
New Zealand,A,0.128
New Zealand,B,0.1245
New Zealand,C,0.0735
New Zealand,D,0.113
New Zealand,E,0.065
New Zealand,F,0.075
New Zealand,G,0.0625
New Zealand,H,0.0705
New Zealand,I,0.071
New Zealand,J,0.07
New Zealand,K,0.0725
New Zealand,L,0.0745
Bolivia,A,0.1475
Bolivia,B,0.1335
Bolivia,C,0.0675
Bolivia,D,0.1215
Bolivia,E,0.064
Bolivia,F,0.067
Bolivia,G,0.0705
Bolivia,H,0.069
Bolivia,I,0.064
Bolivia,J,0.0615
Bolivia,K,0.07
Bolivia,L,0.064
